scenario,nonce,baseline_profit,current_policy_profit,current_quality,solve_time,solver_status,oracle_profit,oracle_quality,replay_profit,replay_bound_violation,replay_flow_violation,replay_max_clip,primal_ub_residual,primal_eq_residual,soc_residual,soc_bound_violation,objective_replay_discrepancy,current_to_oracle_gap,n_vars,n_eq,n_ub
MULTIDAY,67,13310.954469035016,240486.4050867633,10.0,13.037312984466553,optimal,290278.48260527104,10.0,290264.42423000006,False,False,3.1512570330960443e-12,3.183231456205249e-12,1.850963826655061e-12,1.4992451724538114e-12,0.0,14.058375270979013,0.0,23040,7680,46080
DENSE,68,17005.674951734924,533757.0557010429,10.0,54.59811472892761,optimal,590246.0923545109,10.0,590222.3782145339,False,False,6.301448252088448e-11,5.044853423896711e-12,3.313616048217227e-11,3.8117065059850574e-11,0.0,23.71413997700438,0.0,34560,11520,76800
CAPSTONE,69,10723.19514777277,554965.7340356194,10.0,172.39663171768188,optimal,1037441.248423119,10.0,1037401.3958706824,False,False,2.60478216773663e-09,8.43742853362528e-11,6.854641299014474e-10,6.858051904146123e-10,0.0,39.852552436525,0.0,57600,19200,115200
BASELINE,70,10340.932836249573,52120.96112414348,4.040257,0.20332574844360352,optimal,56121.25277379232,4.427097695928867,56119.81672176166,False,False,3.126388037344441e-13,2.842170943040401e-14,1.4210854715202004e-14,8.348877145181177e-14,0.0,1.4360520306654507,0.38684069592886683,2880,960,5760
CONGESTED,71,6786.384704443254,84905.72787935092,10.0,1.07273268699646,optimal,93285.67697743508,10.0,93282.37506065998,False,False,1.2150280781497713e-12,1.0658141036401503e-13,2.7711166694643907e-13,3.206324095117452e-13,0.0,3.3019167751044733,0.0,5760,1920,11520
MULTIDAY,72,33954.64722252006,438100.5177725427,10.0,15.17866063117981,optimal,493375.51503794437,10.0,493360.1099229266,False,False,1.7676526908871892e-10,2.362554596402333e-12,4.093081429346057e-11,4.200728653813712e-11,0.0,15.405115017783828,0.0,23040,7680,46080
DENSE,73,37078.64263813309,772881.842503767,10.0,44.79694747924805,optimal,833840.2999189734,10.0,833815.8634870878,False,False,9.052314453583676e-12,2.9558577807620168e-12,9.066525308298878e-12,1.7060131085600005e-11,0.0,24.436431885580532,0.0,34560,11520,76800
CAPSTONE,74,35242.09039558889,651521.1801166364,10.0,182.90931677818298,optimal,1137116.7605667436,10.0,1137078.4877055085,False,False,2.9175240001677594e-10,1.8609114249557024e-11,7.672085189369682e-11,8.567013765059528e-11,0.0,38.27286123507656,0.0,57600,19200,115200
BASELINE,75,34994.88668740411,51269.003187395836,0.465043,0.14800024032592773,optimal,54543.10427653789,0.5586021113082005,54541.701762480945,False,False,1.1013412404281553e-13,3.552713678800501e-15,7.105427357601002e-15,2.842170943040401e-14,0.0,1.4025140569428913,0.0935591113082005,2880,960,5760
CONGESTED,76,25432.021962940664,105463.20389126953,3.146867,0.7400553226470947,optimal,115922.89381741273,3.5581469685256044,115919.03514536409,False,False,2.8421709430404007e-13,1.5987211554602254e-14,4.263256414560601e-14,8.881784197001252e-14,0.0,3.8586720486346167,0.41127996852560456,5760,1920,11520
MULTIDAY,77,1947.4108762124342,336022.7755016931,10.0,13.085949420928955,optimal,387562.58174661867,10.0,387547.01354414516,False,False,1.0167866548727034e-11,9.272582701669307e-13,2.62545540863357e-12,3.028688411177427e-12,0.0,15.568202473514248,0.0,23040,7680,46080
DENSE,78,14917.668086605101,929445.7940204313,10.0,48.63798785209656,optimal,1010142.2080611178,10.0,1010116.7986217256,False,False,1.7813306385505712e-11,6.750155989720952e-13,9.830358749240986e-12,9.872991313386592e-12,0.0,25.409439392155036,0.0,34560,11520,76800
CAPSTONE,79,41159.70676511299,611872.9252529885,10.0,235.72039246559143,optimal,1132055.7723248869,10.0,1132015.6620016014,False,False,6.51585096989038e-09,1.5867129832258797e-10,1.7146923880773102e-09,1.7157084641894471e-09,0.0,40.11032328545116,0.0,57600,19200,115200
BASELINE,80,21409.108880193617,44613.93884809728,1.083876,0.21200275421142578,optimal,46017.01707928285,1.149413006195019,46015.41299622034,False,False,1.6342482922482304e-13,7.105427357601002e-15,1.4210854715202004e-14,4.796163466380676e-14,0.0,1.6040830625133822,0.0655370061950189,2880,960,5760
CONGESTED,81,35743.852343531544,101789.92985761992,1.84776,1.2290265560150146,optimal,112288.4239347336,2.141475150842621,112284.9913218806,False,False,1.6697754290362354e-13,2.398081733190338e-14,1.4210854715202004e-14,4.618527782440651e-14,0.0,3.4326128529937705,0.2937151508426208,5760,1920,11520
MULTIDAY,82,8404.736622618868,367536.310204778,10.0,18.015368938446045,optimal,410880.04260059434,10.0,410865.5029620059,False,False,1.0601297617540695e-11,7.247535904753022e-13,2.5863755581667647e-12,2.5934809855243657e-12,0.0,14.53963858843781,0.0,23040,7680,46080
DENSE,83,43203.02810113324,374962.1600260802,7.679071,52.069252729415894,optimal,433582.3790470738,9.03592567685469,433559.89926100004,False,False,3.4426506090312614e-10,4.270361841918202e-11,9.058354066837637e-11,9.060130423677037e-11,0.0,22.479786073730793,1.3568546768546899,34560,11520,76800
CAPSTONE,84,30208.52663870533,883036.1636010031,10.0,223.67621493339539,optimal,1501124.426484958,10.0,1501086.3938178024,False,False,5.526175073100603e-10,2.7696955839928705e-11,1.453983600185893e-10,2.2085799855631194e-10,0.0,38.0326671556104,0.0,57600,19200,115200
BASELINE,85,11784.79820314523,39616.082564572214,2.361626,0.25601696968078613,optimal,41055.74071601697,2.483788182522791,41054.39975599954,False,False,3.161915174132446e-13,3.552713678800501e-14,8.171241461241152e-14,8.526512829121202e-14,0.0,1.3409600174272782,0.12216218252279143,2880,960,5760
CONGESTED,86,35976.59410334225,79655.93517657796,1.214104,1.2497212886810303,optimal,87073.26879835382,1.4202754865237335,87069.87775967736,False,False,6.075140390748857e-13,1.4210854715202004e-14,1.4210854715202004e-13,1.4210854715202004e-13,0.0,3.3910386764619034,0.2061714865237334,5760,1920,11520
MULTIDAY,87,21744.210518645326,330358.8609413682,10.0,21.747676849365234,optimal,392656.7019409385,10.0,392641.82054575084,False,False,1.1013412404281553e-12,5.258016244624741e-13,9.876544027065393e-13,1.2718714970105793e-12,0.0,14.881395187636372,0.0,23040,7680,46080
DENSE,88,68869.8898643918,538886.9626504318,6.824711,58.328731298446655,optimal,600140.9310439664,7.7141264813688455,600115.7325755518,False,False,7.631939524799236e-11,5.279332526697544e-12,2.1046275833214168e-11,3.2013502959671314e-11,0.0,25.19846841460094,0.8894154813688457,34560,11520,76800
CAPSTONE,89,8346.704307287491,732638.206843005,10.0,171.44395995140076,optimal,1272532.9122926195,10.0,1272490.7843933057,False,False,2.986126901305397e-10,5.224265464676137e-12,7.856471029299428e-11,7.860379014346108e-11,0.0,42.12789931381121,0.0,57600,19200,115200
BASELINE,90,19890.738070748113,59791.945037497164,2.006019,0.15199971199035645,optimal,64537.246831085955,2.2445878377812276,64535.51720286777,False,False,1.3855583347321954e-13,7.105427357601002e-15,1.4210854715202004e-14,4.263256414560601e-14,0.0,1.7296282181850984,0.2385688377812274,2880,960,5760
CONGESTED,91,360.7976257438303,84012.41645631896,10.0,0.694185733795166,optimal,97579.88573981199,10.0,97576.2648446814,False,False,2.6645352591003757e-13,1.7763568394002505e-14,3.552713678800501e-14,7.283063041541027e-14,0.0,3.620895130588906,0.0,5760,1920,11520
MULTIDAY,92,21338.76047430147,349148.97022630024,10.0,14.41602897644043,optimal,399905.8044643887,10.0,399891.36411249416,False,False,4.0667913481229334e-11,6.572520305780927e-13,1.06439301816863e-11,1.070610267106531e-11,0.0,14.440351894532796,0.0,23040,7680,46080
DENSE,93,44599.461156386606,596267.2728370533,10.0,51.584275245666504,optimal,675318.379493186,10.0,675295.6326958436,False,False,2.8746072189278493e-10,1.5639045614079805e-11,1.808402316783031e-10,1.8576606919396e-10,0.0,22.746797342435457,0.0,34560,11520,76800
CAPSTONE,94,30142.94117254698,858449.0888646664,10.0,181.3090057373047,optimal,1396050.7821887967,10.0,1396013.0953559442,False,False,3.2590463661108515e-10,9.091394304050482e-12,1.1461764870546176e-10,1.1460343785074656e-10,0.0,37.68683285242878,0.0,57600,19200,115200
BASELINE,95,26598.788135189116,48089.21990809597,0.807948,0.13700270652770996,optimal,50195.33011214328,0.8871284607455394,50193.61093558922,False,False,2.7355895326763857e-13,1.4210854715202004e-14,1.4210854715202004e-14,7.283063041541027e-14,0.0,1.7191765540628694,0.07918046074553942,2880,960,5760
