seed,nonce,scenario,baseline,profit,raw_quality,clipped_quality,charged_mwh,discharged_mwh,degradation_cost,transaction_cost,terminal_soc_mean,terminal_soc_min,terminal_soc_max,curtailed_value,max_line_util,n_active_constraint_steps,max_curtail_mwh,max_curtail_step,worst_step_time,total_time,error
987654,51,CONGESTED,22446.87966860962,86622.74403640571,2.859010486641602,2.859010486641602,2323.427670976713,2934.627326551064,2.6435504317555716,1314.5137493819439,0.0,0.0,0.0,375380.1638097371,1.0000000000000004,92,135.64105587132235,54,0.025471000000834465,1.0469161000219174,
987654,56,CONGESTED,9829.299300936138,84796.7955395266,7.626942057184448,7.626942057184448,2828.8218033807902,3173.8168230984293,3.378609125935964,1500.659656619805,0.09660786796708906,0.0,0.23543692760770585,280037.98471507273,1.0000000000000009,90,110.89252456365648,82,0.02660489996196702,1.0351401999942027,
987654,61,CONGESTED,8299.538458231638,83140.3889333294,9.017471374188494,9.017471374188494,2721.5054836925947,3115.157444628414,3.292344907211807,1459.1657320802517,0.08173358862109278,0.0,0.17428168179005565,319933.4035448344,1.0000000000000004,88,121.14090391125319,56,0.023632500029634684,1.0672828000388108,
987654,66,CONGESTED,23655.828552041898,110040.21026100534,3.6517165955641526,3.6517165955641526,2367.0169392895737,2836.368792904916,2.764647009042499,1300.8464330486229,0.05684744339673451,0.0,0.12744798307719987,543636.1934581267,1.0000000000000007,93,130.15294969654315,26,0.02325080003356561,1.0740786000387743,
987654,71,CONGESTED,6786.384704443254,82355.24773064483,11.135363865474494,10.0,2495.1121119759405,3070.288691535703,2.8084673545098013,1391.3502008779103,0.0,0.0,0.0,221663.80036692446,1.0000000000000007,84,129.70787452060353,4,0.025574699975550175,1.0690364000038244,
987654,76,CONGESTED,25432.021962940664,105469.71429427681,3.147122648950968,3.147122648950968,2452.056092355536,2985.333376446814,3.0372999110802366,1359.3473672005873,0.0,0.0,0.0,177065.47871717953,1.0000000000000004,73,105.15406509349623,20,0.025912499986588955,0.9217092000180855,
987654,81,CONGESTED,35743.852343531544,99543.98594484448,1.784926061867915,1.784926061867915,2423.7190028876566,2919.7651830643185,2.985959406168008,1335.8710464879935,0.01485843100377986,0.0,0.121155427631579,186462.11965087254,1.0000000000000004,88,110.26077049972378,44,0.023189000028651208,1.0085864000138827,
987654,86,CONGESTED,35976.59410334225,78670.77935954393,1.1867211535471236,1.1867211535471236,2198.40289711165,2718.757271413971,2.8517369939129975,1229.2900421314048,0.0,0.0,0.0,118103.65075837506,1.0000000000000004,71,106.84432193550856,56,0.025862000009510666,0.9349137999815866,
987654,91,CONGESTED,360.7976257438303,78304.08331126675,216.03048331818266,10.0,3077.932782083718,3414.4436869280516,3.558639912754453,1623.0941172529422,0.09836467293354037,0.0,0.2547509154644582,349139.0868910625,1.000000000000001,93,122.63318615119442,63,0.03377290000207722,1.0209208999876864,
987654,96,CONGESTED,17493.764395797807,125489.65149439104,6.17339325310461,6.17339325310461,2834.248934378833,3410.025715004936,3.0695903846591976,1561.0686623459426,0.010972302493292943,0.0,0.0805374704460285,291115.3260912324,1.0000000000000009,83,121.9895455689275,8,0.022801399987656623,0.9402039999840781,
