scenario,nonce,baseline_profit,v6_profit,v6_quality,oracle1_profit,oracle1_status,oracle1_time,oracle1_degcheck,oracle3_profit,oracle3_status,oracle3_time,oracle2_profit,oracle2_status,oracle2_time,oracle2_replay_profit,oracle2_bound_violation,oracle2_flow_violation,oracle2_replay_error,oracle2_max_clip,oracle2_quality
CONGESTED,51,22446.87966860962,84243.36112026553,2.7530098775965253,139336.81185441685,optimal,0.21389150619506836,139331.76044608248,141630.76388623138,optimal,0.20532441139221191,94835.94772750227,optimal,1.4631688594818115,94832.86752674292,False,False,,1.6129320101754274e-12,3.2249056048934386
CONGESTED,56,9829.299300936138,78103.8299851706,6.946022151424975,124130.73756112088,optimal,0.2109670639038086,124125.87964979361,126144.37206716175,optimal,0.21199822425842285,99958.66640897309,optimal,1.4589118957519531,99954.85300642278,False,False,,3.836930773104541e-13,9.16946003366523
CONGESTED,61,8299.538458231638,73251.39476812416,7.825960037289312,130790.12855342065,optimal,0.1999680995941162,130785.213594235,132874.2614712045,optimal,0.20400047302246094,98217.35471479506,optimal,1.4007039070129395,98213.87432276979,False,False,,4.014566457044566e-13,10.0
CONGESTED,66,23655.828552041898,98150.69517940075,3.1491125521274363,192228.82849230943,optimal,0.1959700584411621,192224.12467910847,194255.00655249893,optimal,0.20299863815307617,128016.89848509694,optimal,1.4096944332122803,128014.00129355589,False,False,,2.5224267119483557e-13,4.411642978348999
CONGESTED,71,6786.384704443254,79630.58453391121,10.0,119281.69751904186,optimal,0.18799495697021484,119277.34236822046,121269.06177701855,optimal,0.20600175857543945,93285.67697743503,optimal,1.5365102291107178,93282.36786426103,False,False,,1.2150280781497713e-12,10.0
CONGESTED,76,25432.021962940664,102616.97640356369,3.0349515484872325,135543.87492469925,optimal,0.20503020286560059,135539.01863727413,137603.01329505688,optimal,0.22100520133972168,115922.89381741267,optimal,1.3975207805633545,115919.03612790653,False,False,,7.804564012602852e-13,3.558146968525602
CONGESTED,81,35743.852343531544,100315.73165472444,1.8065170672928812,133235.77930813492,optimal,0.19144606590270996,133230.75484520127,135298.15280460595,optimal,0.20296740531921387,112288.42393473371,optimal,1.5601484775543213,112284.9946828626,False,False,,2.7711166694643907e-13,2.141475150842624
CONGESTED,86,35976.59410334225,76774.6803179244,1.1340174696986662,100624.66267236638,optimal,0.20799779891967773,100620.33206252985,102388.3421243251,optimal,0.2059645652770996,87073.26879835386,optimal,1.40523099899292,87069.87128072369,False,False,,5.044853423896711e-13,1.4202754865237346
CONGESTED,91,360.7976257438303,71648.2537992956,10.0,137248.95811125234,optimal,0.19199872016906738,137244.3201074782,139266.30681980203,optimal,0.2010347843170166,97579.88573981205,optimal,1.390406847000122,97576.2745821419,False,False,,3.055333763768431e-13,10.0
CONGESTED,96,17493.764395797807,119113.504828886,5.80891214309994,177022.31124568626,optimal,0.20203542709350586,177017.37800090242,179368.28799860046,optimal,0.20903325080871582,137399.74872344377,optimal,1.4599683284759521,137396.36196962697,False,False,,1.4495071809506044e-12,6.854212827377193
