seed,nonce,scenario,baseline,profit_policy_v6,profit_policy_v8,profit_policy_v9,profit_policy_v10,profit_policy_v11,q_policy_v6,q_policy_v8,q_policy_v9,q_policy_v10,q_policy_v11,best,gain_over_v11,n_tied,error
123,18,DENSE,28215.82281646492,370631.0952176055,370631.0952176055,527709.2561163154,534906.6986097811,534906.6986097811,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
123,35,BASELINE,25507.077977130586,43442.647890650456,42054.53220161563,42054.53220161563,42054.53220161563,43292.316888786234,0.7031605081890437,0.6487397042763032,0.6487397042763032,0.6487397042763032,0.6972668106830764,policy_v6,0.005893697505967355,1,
123,27,MULTIDAY,28291.402173837945,252960.25376051548,252960.25376051548,316685.23071310786,313548.45296714554,313548.45296714554,7.941241307102675,7.941241307102675,10.0,10.0,10.0,policy_v9,0.0,3,
123,36,CONGESTED,23253.82686107543,76862.35356114387,80364.42579962313,80364.42579962313,80364.42579962313,81166.21536999183,2.3053636297386544,2.4559656041685396,2.4559656041685396,2.4559656041685396,2.490445501826861,policy_v11,0.0,1,
123,32,MULTIDAY,6459.97670825694,127860.18373134389,127860.18373134389,191675.0897100375,205083.62696332726,205083.62696332726,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
123,40,BASELINE,24393.80518731453,52630.49995217949,53040.9302274936,53040.9302274936,53040.9302274936,53401.40488892097,1.1575354704558887,1.1743606550527845,1.1743606550527845,1.1743606550527845,1.1891379584970236,policy_v11,0.0,1,
123,24,CAPSTONE,34675.73103170672,690895.693967648,690895.693967648,690895.693967648,690895.693967648,690895.693967648,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
123,23,DENSE,11993.225976391599,344447.9999081454,344447.9999081454,461312.07123141317,456121.2814518038,456121.2814518038,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
123,29,CAPSTONE,40200.403120448,1164559.1410303437,1164559.1410303437,1164559.1410303437,1164559.1410303437,1164559.1410303437,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
123,41,CONGESTED,11447.504579434433,88713.16719395663,93730.72765073729,93730.72765073729,93730.72765073729,96001.52863514949,6.7495638085684835,7.1878742212462345,7.1878742212462345,7.1878742212462345,7.386240683426416,policy_v11,0.0,1,
123,37,MULTIDAY,38710.40497013715,250557.06752953937,250557.06752953937,331509.857343718,341126.25689613534,341126.25689613534,5.4726025914055185,5.4726025914055185,7.563843689878598,7.812262675926081,7.812262675926081,policy_v10,0.0,2,
123,28,DENSE,8229.01462124445,473368.70714065194,473368.70714065194,630078.7722467344,640622.0789232687,640622.0789232687,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
123,45,BASELINE,35094.13088112693,50564.81766933321,51189.38788098875,51189.38788098875,51189.38788098875,51626.21254768621,0.4408340198014519,0.4586310187855077,0.4586310187855077,0.4586310187855077,0.47107824730256825,policy_v11,0.0,1,
123,46,CONGESTED,6806.575034627554,70081.01587871108,75515.59562365306,75515.59562365306,75515.59562365306,76991.94369462943,9.296076295770938,10.0,10.0,10.0,10.0,policy_v8,0.0,4,
123,33,DENSE,25164.379028701853,475263.29374794464,475263.29374794464,601212.3251898286,578292.0044819756,578292.0044819756,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
123,34,CAPSTONE,27081.045186756546,664053.7450151623,664053.7450151623,664053.7450151623,664053.7450151623,664053.7450151623,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
123,50,BASELINE,14743.10727779479,37982.53736848937,37814.09425486547,37814.09425486547,37814.09425486547,37975.50498145424,1.5762911882300528,1.5648659770829987,1.5648659770829987,1.5648659770829987,1.5758141933264584,policy_v6,0.00047699490359431884,1,
123,42,MULTIDAY,13265.173065364876,214096.99928780113,214096.99928780113,300905.69034719426,310442.8484680864,310442.8484680864,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
123,38,DENSE,35730.15769191865,489069.62230018695,489069.62230018695,652906.2751086679,635681.0325153711,635681.0325153711,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
123,51,CONGESTED,31192.38171483887,110124.4515206934,115333.15119427336,115333.15119427336,115333.15119427336,116584.28952855233,2.5304919170623763,2.697478193424053,2.697478193424053,2.697478193424053,2.7375885750446924,policy_v11,0.0,1,
123,47,MULTIDAY,26325.58906588264,248074.91227364817,248074.91227364817,350292.88869241416,364609.6332118694,364609.6332118694,8.423337561199123,8.423337561199123,10.0,10.0,10.0,policy_v9,0.0,3,
123,55,BASELINE,25728.16953750662,44502.07242149184,45772.656460989696,45772.656460989696,45772.656460989696,46622.42832355199,0.7297022376926914,0.7790871749924947,0.7790871749924947,0.7790871749924947,0.8121160253850757,policy_v11,0.0,1,
123,39,CAPSTONE,29858.055486574805,614182.639324089,614182.639324089,614182.639324089,614182.639324089,614182.639324089,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
123,56,CONGESTED,13738.910298134659,72426.71345406445,73875.53557478421,73875.53557478421,73875.53557478421,75774.66927048663,4.271649052081388,4.377102984684108,4.377102984684108,4.377102984684108,4.515333284930121,policy_v11,0.0,1,
123,43,DENSE,31712.089525252355,521502.61946024915,521502.61946024915,687960.239262375,692379.2206428683,692379.2206428683,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
123,44,CAPSTONE,20399.37417579321,705641.6263725482,705641.6263725482,705641.6263725482,705641.6263725482,705641.6263725482,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
123,52,MULTIDAY,17331.163517070945,205305.43727879334,205305.43727879334,289174.22846526286,295227.98698754876,295227.98698754876,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
123,60,BASELINE,16544.832847975813,40309.13758770252,40741.58666661378,40741.58666661378,40741.58666661378,41217.84027666898,1.4363581038655102,1.4624961182449079,1.4624961182449079,1.4624961182449079,1.4912817587166207,policy_v11,0.0,1,
123,48,DENSE,18605.58334663235,528343.9059896561,528343.9059896561,733604.6049869073,767805.0910751913,767805.0910751913,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
123,57,MULTIDAY,5215.67019840184,340976.9909426591,340976.9909426591,433013.2337032579,428132.5595392017,428132.5595392017,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
123,61,CONGESTED,5167.071856074457,92145.34424370792,99475.92321980058,99475.92321980058,99475.92321980058,102078.61978512484,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
123,65,BASELINE,29392.756042033696,51075.510098149774,50678.154693092605,50678.154693092605,50678.154693092605,51107.71223114797,0.7376904031854152,0.7241715822733713,0.7241715822733713,0.7241715822733713,0.7387859837751037,policy_v11,0.0,1,
123,49,CAPSTONE,37679.60720546326,635349.1941299018,635349.1941299018,635349.1941299018,635349.1941299018,635349.1941299018,10.0,10.0,10.0,10.0,10.0,policy_v6,0.0,5,
123,66,CONGESTED,7605.088801875176,81530.89297829033,83676.73218308753,83676.73218308753,83676.73218308753,83529.37892133277,9.720570803652786,10.0,10.0,10.0,9.98335352649054,policy_v8,0.01664647350946069,3,
