nonce,t,rt_price_mean,da_price_mean,soc_frac_mean,desired_sum_mw,final_sum_mw,desired_minus_final_mw,value_lost,repair_engaged,min_line_headroom_frac,costate_mean,cum_profit
41,14,46.32720143857065,48.03321053048985,0.7283694055447008,-489.74890809613726,-254.11154597743547,-235.6373621187018,169.41879392790725,1,3.612331842162897e-16,54.09716168354746,-10488.347251642157
41,15,47.42544033194125,49.36333991105397,0.7663500024255449,-396.31497890804985,-213.87529789305,-182.43968101499985,159.09006856571068,1,-3.612331842162897e-16,55.01997909706125,-13347.707583765346
41,16,43.78737096104007,50.95525061718306,0.7933231290240641,-524.2958875158597,-142.40832394655592,-381.8875635693038,800.5085413344204,1,-1.8061659210814484e-16,56.13695012390373,-15382.916283197894
41,17,56.2878345061028,52.59054938900505,0.813352667925677,-122.87025557728425,-117.67875377795473,-5.191501799329529,-0.3525071051553823,0,0.029165146834272727,57.30860467303554,-16955.44550386683
41,18,72.92537119904169,53.97103700972146,0.8296758243507805,236.06916634147,171.7481077934982,64.3210585479718,13.857954452687409,1,0.0,59.991155631718314,-18356.57087667708
41,19,55.289395012678675,55.59949435322754,0.803520711935844,-309.07085347106624,-190.73137678429165,-118.33947668677459,72.45770829773392,1,0.0,61.016709615433854,-13770.47881492495
41,20,68.5823663310521,57.22432058228861,0.8306084448504898,297.6479311785672,17.318459771570158,280.3294714069971,227.0830971330579,1,0.0,62.77461531440306,-16274.152136713015
41,21,51.31563532653887,58.9071418247632,0.8258144027804715,-446.34226307137055,-221.2638310579888,-225.07843201338176,428.0316523114743,1,0.0,63.53971944708336,-15818.414477117101
41,22,55.294105258031024,60.43648488333325,0.852303492393041,-384.672453376381,-49.25078834884441,-335.42166502753656,965.8113902129699,1,0.0,64.95265046363765,-17588.718396883138
41,23,71.85708267349003,61.844813530623426,0.8601855377144503,234.34686622133475,110.82784345864178,123.51902276269297,42.82535619600094,1,0.0,67.97471615269014,-16817.20018621158
41,24,59.016656755035186,63.86719416313222,0.8392198342414648,-315.2180249391305,-174.53910250256013,-140.67892243657036,122.50994963315316,1,0.0,68.99360684231698,-14533.8488677003
41,25,64.80808552587604,65.81568944491748,0.8638751087325233,-329.7413533998807,-191.40317492212975,-138.33817847775097,13.649225990433479,1,0.0,70.2931808466811,-16412.99169837185
41,26,65.84325972876414,67.82239795848044,0.8896941253321344,-261.89667650941044,-175.7080483474988,-86.18862816191165,42.70588066443452,1,-3.612331842162897e-16,71.66888223859878,-19207.100809144275
41,27,60.83000921323653,70.14524567079518,0.9102954491855304,-365.55588219107676,-252.81094826417154,-112.74493392690522,175.3806225937733,1,1.7553670171967996e-16,72.31603106364363,-21747.81185798977
41,28,69.97701700302954,72.03778629298054,0.9449095424312107,-161.81569858533246,-161.81569858533246,0.0,0.0,0,0.5148727618387354,73.48347240313579,-24612.650191910227
41,29,69.61524406535975,74.08429205720975,0.9683688313698606,-107.56812580060833,-27.650250695660496,-79.91787510494783,78.22184210133855,1,0.0,75.58188874573844,-27147.922118727216
41,30,79.0611702501207,76.48187101563602,0.9683309186800108,100.74496906557441,100.74496906557441,0.0,0.0,0,0.14940042443845805,77.86109191090151,-27475.17309392751
41,31,68.83729831515979,78.02174720482918,0.9532541642940459,-195.04107365688688,-134.13319499289352,-60.90787866399336,51.17944136573351,1,0.0,79.35795200494556,-25307.628333190278
41,32,63.981961910511096,80.78920441029886,0.9745834435002877,-125.14256732235378,-76.90345174323303,-48.23911557912075,26.93220679659862,1,-1.678210694278428e-16,81.03437039461606,-27248.84517181389
41,33,88.07777213768749,83.43199231966084,0.985039906840344,344.313821498583,46.908515002487036,297.405306496096,223.36575890812674,1,0.0,82.44004464611704,-26796.288209241462
41,34,89.13057823813604,85.5488199167614,0.9748768451078629,275.3715064631077,20.037694086125622,255.3338123769821,330.9075280135148,1,-1.8061659210814484e-16,83.08341317412672,-25485.497086461783
41,35,78.10435050120502,86.58381829964237,0.9711758945072789,-129.21138628669362,-82.93580946383,-46.27557682286363,4.8182107822503895,1,0.0,83.86046019319085,-24727.7401222303
41,36,98.15604265227435,88.0408842890217,0.9819015888323881,54.827759250404554,39.456259052183384,15.37150019822117,3.8364289175369777,1,0.0,84.59651973856153,-26262.18536823748
41,37,91.82957987231906,89.89963946107682,0.972479295877109,274.3228523856815,64.79776238008962,209.52509000559184,169.14723486101138,1,0.0,84.99171405601685,-23702.409669554934
41,38,77.00256359160426,91.47494474617199,0.9634368715720545,-104.20602090463288,-37.38872670371452,-66.81729420091835,61.10574001862551,1,0.0,84.85933939270967,-21688.93674268001
41,39,97.11334456766541,92.44551564526971,0.9708765526330518,484.28670229651175,38.63320006606083,445.6535022304509,886.2414486024063,1,0.0,84.7746821345259,-22188.140231556514
41,40,85.58764044901451,93.82331508352884,0.9637398844161836,17.818660635148305,17.818660635148305,0.0,0.0,0,0.032357855563997256,84.42992005432458,-21135.77078529479
41,41,96.68201987221008,94.51964383826176,0.9585586354037039,477.93147512386827,224.28580547848006,253.6456696453882,325.3939494919323,1,0.0,84.32828558706339,-20668.380788756625
41,42,76.71362960238126,95.3616769759375,0.9205114562496327,-50.97245052343353,-9.276545344239597,-41.69590517919393,34.097758731862996,1,-1.7235078183670757e-16,83.75419877555085,-14950.451069729788
41,43,102.67201748007524,96.57121018082536,0.9199713954855664,529.3964677333566,272.9635910847936,256.432876648563,618.2315196888521,1,0.0,83.44033432585704,-14118.228100197655
