nonce,scenario,baseline_profit,frozen_profit,oracle_profit,frozen_quality,oracle_quality,regret_quality,pct_oracle_captured,final_score_loss_contribution
65,BASELINE,35791.157090276014,50610.40820888963,53962.07044471325,0.4140478353583535,0.5076446080210645,0.09359677266271099,81.6,9.36e-05
15,BASELINE,34830.360706967294,46346.071712085635,49504.55041430612,0.33062278917152216,0.42126048280011963,0.09063769362859747,78.5,9.06e-05
25,BASELINE,48056.65881148651,63926.013985052734,68054.77684832277,0.33022177499870026,0.41610705559049915,0.0858852805917989,79.4,8.59e-05
0,BASELINE,18470.30233528574,36820.46576291959,38385.01029490056,0.9934955635016395,1.078122429749008,0.08462686624736848,92.2,8.46e-05
50,BASELINE,37445.27529802348,50174.09279820471,53013.06574052949,0.33993120356396944,0.41570690078858313,0.07577569722461369,81.8,7.58e-05
21,CONGESTED,2980.999464512717,86725.73927756422,93281.31592383047,10.0,10.0,0.0,100.0,0.0
36,CONGESTED,336.8922602371719,68150.61168449944,86998.11263277274,10.0,10.0,0.0,100.0,0.0
46,CONGESTED,4290.440230316097,112594.05504584542,122985.47124520913,10.0,10.0,0.0,100.0,0.0
71,CONGESTED,6786.384704443254,82355.24773064483,93285.67697743503,10.0,10.0,0.0,100.0,0.0
91,CONGESTED,360.7976257438303,78304.08331126675,97579.88573981205,10.0,10.0,0.0,100.0,0.0
2,MULTIDAY,10053.530318524508,366165.29868730804,407844.5003017788,10.0,10.0,0.0,100.0,0.0
22,MULTIDAY,18181.656705796402,288088.07696769154,348367.76160927647,10.0,10.0,0.0,100.0,0.0
42,MULTIDAY,25727.019558116215,310412.5941499501,367119.0163083431,10.0,10.0,0.0,100.0,0.0
62,MULTIDAY,3315.8414578262114,460407.6706318753,511292.9293263268,10.0,10.0,0.0,100.0,0.0
82,MULTIDAY,8404.736622618868,367536.310204778,410880.042600594,10.0,10.0,0.0,100.0,0.0
43,DENSE,18515.844739246037,552664.8243213951,627688.7331366603,10.0,10.0,0.0,100.0,0.0
8,DENSE,7624.159325053755,530870.5272350506,580444.1391017286,10.0,10.0,0.0,100.0,0.0
23,DENSE,41107.29560076989,652846.3469741002,732550.5394595251,10.0,10.0,0.0,100.0,0.0
58,DENSE,19119.708924752507,433007.00763139897,514897.11455804587,10.0,10.0,0.0,100.0,0.0
93,DENSE,44599.46155098167,584265.3392677115,675318.3798476502,10.0,10.0,0.0,100.0,0.0
